"","accuracy","precision","sensitivity","specifity","f1_score","sv_nonrec","sv_rec","auc","delta","epsilon","rho"
"once_only_30_70","0.7917","0.8241","0.7444","0.8390","0.7807","0.6928","0.8562","0.8189","6e-04","0.9803","0.0041"
"once_only_40_60","0.7874","0.8243","0.7328","0.8420","0.7748","0.7114","0.8650","0.8109","5e-04","0.9803","0.0041"
"once_only_50_50","0.7883","0.8226","0.7362","0.8404","0.7757","0.7318","0.8670","0.8102","6e-04","0.9806","0.0041"
"once_only_60_40","0.7815","0.8160","0.7290","0.8340","0.7691","0.7075","0.8706","0.8091","5e-04","0.9812","0.0042"
"once_only_70_30","0.7827","0.8198","0.7262","0.8392","0.7690","0.7254","0.8646","0.8044","5e-04","0.9782","0.0041"
"once_only_80_20","0.7864","0.8271","0.7278","0.8450","0.7727","0.7138","0.8737","0.8100","5e-04","0.9806","0.0040"
"twice_only_30_70","0.8385","0.8052","0.8978","0.7792","0.8480","0.7164","0.8606","0.8816","1e-03","0.9782","0.0065"
"twice_only_40_60","0.8465","0.8123","0.9044","0.7886","0.8551","0.7356","0.8669","0.8854","1e-03","0.9780","0.0065"
"twice_only_50_50","0.8422","0.8112","0.8956","0.7888","0.8503","0.7275","0.8677","0.8814","1e-03","0.9798","0.0065"
"twice_only_60_40","0.8441","0.8086","0.9044","0.7838","0.8532","0.7428","0.8742","0.8818","1e-03","0.9800","0.0066"
"twice_only_70_30","0.8385","0.8066","0.8924","0.7846","0.8467","0.7283","0.8595","0.8782","8e-04","0.9702","0.0066"
"twice_only_80_20","0.8400","0.8095","0.8916","0.7884","0.8479","0.7354","0.8710","0.8782","1e-03","0.9790","0.0065"
