"","accuracy","precision","sensitivity","specifity","f1_score","sv_nonrec","sv_rec","auc","delta","epsilon","rho"
"once_only_30_70_sd","0.0358","0.0451","0.0580","0.0498","0.0406","0.0754","0.0312","0.0356","2e-04","0.0055","3e-04"
"once_only_40_60_sd","0.0464","0.0567","0.0566","0.0559","0.0496","0.0863","0.0309","0.0445","2e-04","0.0062","3e-04"
"once_only_50_50_sd","0.0403","0.0436","0.0641","0.0438","0.0473","0.0870","0.0275","0.0399","2e-04","0.0073","4e-04"
"once_only_60_40_sd","0.0401","0.0491","0.0521","0.0500","0.0432","0.0752","0.0314","0.0362","2e-04","0.0073","3e-04"
"once_only_70_30_sd","0.0411","0.0472","0.0590","0.0468","0.0459","0.0766","0.0296","0.0380","2e-04","0.0094","3e-04"
"once_only_80_20_sd","0.0391","0.0527","0.0560","0.0564","0.0426","0.0965","0.0300","0.0376","2e-04","0.0057","4e-04"
"twice_only_30_70_sd","0.0384","0.0480","0.0396","0.0666","0.0339","0.0565","0.0207","0.0333","4e-04","0.0074","4e-04"
"twice_only_40_60_sd","0.0360","0.0433","0.0391","0.0569","0.0328","0.0623","0.0236","0.0353","3e-04","0.0055","4e-04"
"twice_only_50_50_sd","0.0366","0.0437","0.0459","0.0597","0.0340","0.0678","0.0256","0.0374","3e-04","0.0047","4e-04"
"twice_only_60_40_sd","0.0392","0.0440","0.0390","0.0575","0.0355","0.0576","0.0245","0.0372","4e-04","0.0051","4e-04"
"twice_only_70_30_sd","0.0370","0.0383","0.0477","0.0497","0.0353","0.0642","0.0287","0.0361","4e-04","0.0310","4e-04"
"twice_only_80_20_sd","0.0348","0.0381","0.0434","0.0505","0.0327","0.0635","0.0264","0.0330","4e-04","0.0058","5e-04"
