"","accuracy","precision","sensitivity","specifity","f1_score","sv_nonrec","sv_rec","auc","delta","epsilon","rho"
"once_only_30_70","0.7754","0.8010","0.7408","0.8100","0.7657","0.6999","0.8494","0.8025","0.0005","0.9832","0.0049"
"once_only_40_60","0.7864","0.8271","0.7278","0.8450","0.7727","0.7138","0.8737","0.8100","0.0005","0.9806","0.0040"
"once_only_50_50","0.7895","0.8374","0.7196","0.8593","0.7731","0.7394","0.8703","0.8081","0.0006","0.9805","0.0036"
"once_only_60_40","0.7961","0.8533","0.7165","0.8757","0.7783","0.7433","0.8792","0.8133","0.0006","0.9790","0.0033"
"once_only_70_30","0.8479","0.9011","0.7822","0.9135","0.8368","0.8294","0.9357","0.8620","0.0007","0.9783","0.0032"
"twice_only_30_70","0.7896","0.7646","0.8460","0.7332","0.8014","0.7320","0.8400","0.8279","0.0011","0.9852","0.0063"
"twice_only_40_60","0.8400","0.8095","0.8916","0.7884","0.8479","0.7354","0.8710","0.8782","0.0010","0.9790","0.0065"
"twice_only_50_50","0.8043","0.7957","0.8203","0.7883","0.8073","0.7582","0.8547","0.8270","0.0013","0.9838","0.0047"
"twice_only_60_40","0.8116","0.8078","0.8183","0.8048","0.8127","0.7722","0.8546","0.8309","0.0014","0.9826","0.0044"
"twice_only_70_30","0.8693","0.8618","0.8803","0.8583","0.8707","0.8191","0.9013","0.8860","0.0013","0.9817","0.0042"
