"","accuracy","precision","sensitivity","specifity","f1_score","sv_nonrec","sv_rec","auc","delta","epsilon","rho"
"once_only_30_70_sd","0.0530","0.0688","0.0900","0.0784","0.0604","0.1301","0.0406","0.0504","2e-04","0.0078","7e-04"
"once_only_40_60_sd","0.0391","0.0527","0.0560","0.0564","0.0426","0.0965","0.0300","0.0376","2e-04","0.0057","4e-04"
"once_only_50_50_sd","0.0330","0.0402","0.0508","0.0383","0.0387","0.0633","0.0250","0.0326","2e-04","0.0051","2e-04"
"once_only_60_40_sd","0.0291","0.0398","0.0389","0.0375","0.0324","0.0622","0.0215","0.0276","2e-04","0.0050","2e-04"
"once_only_70_30_sd","0.0249","0.0293","0.0406","0.0278","0.0286","0.0604","0.0155","0.0253","2e-04","0.0045","2e-04"
"twice_only_30_70_sd","0.0665","0.0730","0.0695","0.0991","0.0609","0.0853","0.0356","0.0602","3e-04","0.0050","7e-04"
"twice_only_40_60_sd","0.0348","0.0381","0.0434","0.0505","0.0327","0.0635","0.0264","0.0330","4e-04","0.0058","5e-04"
"twice_only_50_50_sd","0.0324","0.0359","0.0413","0.0435","0.0323","0.0501","0.0229","0.0329","2e-04","0.0030","3e-04"
"twice_only_60_40_sd","0.0288","0.0305","0.0362","0.0344","0.0291","0.0430","0.0191","0.0295","2e-04","0.0033","3e-04"
"twice_only_70_30_sd","0.0247","0.0268","0.0326","0.0301","0.0248","0.0432","0.0208","0.0230","2e-04","0.0033","2e-04"
