,accuracy,precision,sensitivity,specifity,f1_score,sv_nonrec,sv_rec,auc,rho
once_only_30_70,0.793,0.8322,0.7364,0.8496,0.78,0.7038,0.8664,0.8171,0.0041
once_only_40_60,0.7943,0.8179,0.7584,0.8302,0.7859,0.7108,0.8683,0.8213,0.0043
once_only_50_50,0.7898,0.8121,0.758,0.8216,0.7828,0.683,0.8528,0.8189,0.0045
once_only_60_40,0.7841,0.7948,0.768,0.8002,0.7802,0.6707,0.8531,0.8215,0.0046
once_only_70_30,0.7841,0.7929,0.7726,0.7956,0.7815,0.6678,0.846,0.8202,0.0047
twice_only_30_70,0.84,0.8071,0.8972,0.7828,0.8488,0.7424,0.8701,0.8756,0.0065
twice_only_40_60,0.8098,0.7863,0.8536,0.766,0.8178,0.7347,0.842,0.839,0.0054
twice_only_50_50,0.812,0.7808,0.8704,0.7536,0.8223,0.7266,0.8413,0.8445,0.0056
twice_only_60_40,0.8015,0.7713,0.8602,0.7428,0.8126,0.7281,0.8382,0.8342,0.0057
twice_only_70_30,0.7958,0.7643,0.8588,0.7328,0.808,0.7169,0.8384,0.8346,0.0058
