,accuracy,precision,sensitivity,specifity,f1_score,sv_nonrec,sv_rec,auc,rho
once_only_30_70_sd,0.0374,0.0474,0.056,0.0491,0.0418,0.0835,0.0283,0.0345,3.00E-04
once_only_40_60_sd,0.0377,0.0404,0.0603,0.0427,0.0427,0.0833,0.0283,0.0373,3.00E-04
once_only_50_50_sd,0.0349,0.0482,0.0482,0.0563,0.0359,0.0723,0.028,0.0326,4.00E-04
once_only_60_40_sd,0.044,0.0489,0.0584,0.0547,0.0463,0.0757,0.0304,0.0411,4.00E-04
once_only_70_30_sd,0.0424,0.0514,0.053,0.0601,0.0429,0.0658,0.0292,0.0395,4.00E-04
twice_only_30_70_sd,0.0417,0.047,0.0481,0.0629,0.0385,0.0629,0.0229,0.0389,5.00E-04
twice_only_40_60_sd,0.0421,0.0447,0.0507,0.0582,0.0397,0.0635,0.0297,0.0438,4.00E-04
twice_only_50_50_sd,0.0338,0.0373,0.0458,0.054,0.0316,0.0576,0.0262,0.0323,5.00E-04
twice_only_60_40_sd,0.0436,0.0457,0.0489,0.061,0.0404,0.0532,0.0264,0.0417,4.00E-04
twice_only_70_30_sd,0.0406,0.0437,0.0459,0.0604,0.0372,0.0629,0.0269,0.0389,5.00E-04
