,accuracy,precision,sensitivity,specifity,f1_score,sv_nonrec,sv_rec,auc,rho
once_only_30_70,0.7818,0.7952,0.7626,0.801,0.777,0.7023,0.8544,0.8146,0.0046
once_only_40_60,0.7898,0.8121,0.758,0.8216,0.7828,0.683,0.8528,0.8189,0.0045
once_only_50_50,0.7894,0.8074,0.7628,0.816,0.7829,0.6891,0.8602,0.8207,0.0044
once_only_60_40,0.7935,0.8137,0.7642,0.8228,0.787,0.6878,0.8567,0.8225,0.0044
once_only_70_30,0.7914,0.8098,0.7642,0.8186,0.785,0.6973,0.8524,0.8202,0.0044
twice_only_30_70,0.7967,0.7651,0.8604,0.733,0.8091,0.7336,0.8408,0.8308,0.0058
twice_only_40_60,0.812,0.7808,0.8704,0.7536,0.8223,0.7266,0.8413,0.8445,0.0056
twice_only_50_50,0.8013,0.7757,0.8512,0.7514,0.8109,0.7317,0.8426,0.8362,0.0055
twice_only_60_40,0.8001,0.775,0.8484,0.7518,0.8092,0.731,0.8415,0.8321,0.0055
twice_only_70_30,0.8042,0.7768,0.8566,0.7518,0.814,0.7295,0.8436,0.8356,0.0056
