,accuracy,precision,sensitivity,specifity,f1_score,sv_nonrec,sv_rec,auc,rho
once_only_30_70_sd,0.0397,0.0487,0.0598,0.0569,0.0425,0.0677,0.0305,0.0372,6.00E-04
once_only_40_60_sd,0.0349,0.0482,0.0482,0.0563,0.0359,0.0723,0.028,0.0326,4.00E-04
once_only_50_50_sd,0.0435,0.0496,0.0654,0.056,0.0479,0.0664,0.0301,0.0409,4.00E-04
once_only_60_40_sd,0.0461,0.0552,0.0579,0.0588,0.0483,0.0779,0.0311,0.0417,4.00E-04
once_only_70_30_sd,0.0415,0.0491,0.0595,0.0534,0.045,0.0659,0.0316,0.0382,4.00E-04
twice_only_30_70_sd,0.0481,0.051,0.0512,0.068,0.0441,0.0594,0.026,0.0475,8.00E-04
twice_only_40_60_sd,0.0338,0.0373,0.0458,0.054,0.0316,0.0576,0.0262,0.0323,5.00E-04
twice_only_50_50_sd,0.0443,0.0478,0.0502,0.0635,0.0412,0.0616,0.0271,0.0425,5.00E-04
twice_only_60_40_sd,0.0412,0.0431,0.0528,0.0563,0.0401,0.0581,0.0259,0.043,5.00E-04
twice_only_70_30_sd,0.0343,0.0384,0.043,0.0532,0.0318,0.0606,0.0305,0.0375,5.00E-04
