54,seq7,r_41_14_146,seq93,r_41_14_146,0.9,0,146,146,0
30,r_44_94_135,r_26_138_85,r_20_85_39,r_44_94_135,0.64,-9,126,135,0
37,r_131_92_186,r_62_113_179,r_123_89_15,r_123_89_15,0.96,166,181,15,0
55,seq8,r_75_37_150,r_118_36_49,r_118_36_49,0.73,101,150,49,0
39,r_80_104_115,seq34,seq67,r_80_104_115,0.98,1,116,115,0
46,r_109_133_101,seq34,r_118_36_49,r_109_133_101,0.97,0,101,101,0
19,r_75_37_150,seq8,r_28_9_26,r_75_37_150,0.7,0,150,150,0
31,r_2_78_110,seq145,r_118_36_49,r_118_36_49,0.81,64,113,49,0
41,r_41_14_146,seq7,seq67,r_41_14_146,0.65,0,146,146,0
3,r_100_33_108,r_64_120_113,seq17,r_100_33_108,0.98,0,108,108,0
10,r_15_10_95,r_16_143_197,seq147,r_15_10_95,1.0,1,96,95,0
26,r_64_120_113,r_100_33_108,r_126_86_57,r_64_120_113,1.0,-5,108,113,0
4,r_43_81_159,r_40_112_172,r_44_94_135,r_40_112_172,0.49,-12,160,172,0
32,r_49_129_40,r_97_107_64,seq136,r_49_129_40,0.89,1,41,40,0
0,r_4_117_66,r_44_94_135,r_59_83_60,r_4_117_66,0.98,0,66,66,0
63,seq27,r_26_138_85,seq125,r_26_138_85,1.0,0,85,85,0
11,r_139_35_162,seq42,r_87_48_36,r_87_48_36,0.98,126,162,36,0
13,r_127_18_145,seq39,r_123_89_15,r_127_18_145,0.91,0,145,145,0
6,r_28_9_26,r_43_81_159,r_131_92_186,r_28_9_26,0.99,0,26,26,0
48,r_26_138_85,seq27,r_44_94_135,r_26_138_85,0.97,0,85,85,0
33,r_87_48_36,r_115_23_80,seq46,r_87_48_36,0.85,1,37,36,0
5,r_123_89_15,r_100_33_108,r_54_70_34,r_100_33_108,1.0,-12,96,108,0
27,r_116_119_117,seq98,seq63,r_116_119_117,0.99,2,119,117,0
70,seq46,seq147,r_87_48_36,r_87_48_36,0.98,22,58,36,0
1,r_31_12_14,r_65_69_128,seq82,r_31_12_14,0.88,-2,12,14,0
2,r_115_23_80,r_15_10_95,r_126_86_57,r_126_86_57,0.86,23,80,57,0
40,r_68_24_24,r_4_117_66,r_0_135_22,r_68_24_24,0.66,2,26,24,0
15,r_118_36_49,r_99_25_180,seq1,r_118_36_49,1.0,4,53,49,0
25,r_97_107_64,seq51,r_0_135_22,r_97_107_64,0.9,1,65,64,0
21,r_54_70_34,r_131_92_186,seq42,r_54_70_34,0.59,3,37,34,0
38,r_95_52_144,seq67,r_44_94_135,r_95_52_144,0.48,6,150,144,0
36,r_130_149_32,r_20_85_39,seq134,r_130_149_32,0.9,1,33,32,0
34,r_45_61_84,seq82,r_20_85_39,r_45_61_84,1.0,0,84,84,0
60,seq147,seq46,r_15_10_95,r_15_10_95,1.0,39,134,95,0
81,seq67,r_95_52_144,r_80_104_115,r_80_104_115,0.68,35,150,115,0
17,r_101_141_126,r_99_25_180,r_54_70_34,r_101_141_126,0.74,3,129,126,0
14,r_126_86_57,r_108_122_89,r_130_149_32,r_130_149_32,0.89,26,58,32,0
9,r_50_32_143,seq132,r_28_9_26,r_28_9_26,0.92,120,146,26,0
42,r_20_85_39,r_26_138_85,seq145,r_20_85_39,0.97,0,39,39,0
18,r_38_148_53,r_100_33_108,r_31_12_14,r_38_148_53,0.54,0,53,53,0
22,r_11_79_190,r_16_143_197,r_26_138_85,r_26_138_85,1.0,105,190,85,0
28,r_108_122_89,r_40_112_172,r_49_129_40,r_108_122_89,1.0,0,89,89,0
7,r_99_25_180,seq57,seq21,r_99_25_180,0.57,1,181,180,0
44,r_144_128_109,r_50_32_143,seq17,r_144_128_109,1.0,1,110,109,0
23,r_59_83_60,seq102,r_4_117_66,r_59_83_60,0.63,7,67,60,0
20,r_124_91_58,seq134,seq98,r_124_91_58,1.0,0,58,58,0
5,r_123_89_15,seq47,r_100_33_108,r_123_89_15,0.92,0,15,15,0
40,r_88_96_39,r_5_129_138,seq134,r_5_129_138,0.47,12,150,138,1
8,r_95_26_172,r_83_4_178,seq58,r_95_26_172,0.78,0,172,172,1
11,r_11_72_29,r_138_67_144,r_83_4_178,r_11_72_29,1.0,0,29,29,1
27,r_111_15_31,r_28_44_134,r_110_78_52,r_110_78_52,0.63,12,64,52,1
37,r_24_14_74,r_5_129_138,seq106,r_24_14_74,1.0,0,74,74,1
40,r_88_96_39,r_97_87_171,r_5_129_138,r_88_96_39,1.0,0,39,39,1
16,r_104_71_105,seq141,r_143_33_51,r_143_33_51,0.99,57,108,51,1
21,r_70_130_90,r_95_26_172,seq101,r_95_26_172,1.0,-83,89,172,1
39,r_1_86_82,r_95_26_172,r_143_33_51,r_1_86_82,1.0,1,83,82,1
1,r_138_67_144,r_135_116_133,r_107_6_13,r_107_6_13,0.55,132,145,13,1
31,r_68_117_141,seq89,seq30,r_68_117_141,0.62,8,149,141,1
29,r_143_33_51,r_107_6_13,r_1_86_82,r_1_86_82,1.0,20,102,82,1
41,r_125_149_149,seq27,r_143_33_51,r_143_33_51,0.98,103,154,51,1
27,r_111_15_31,r_138_67_144,r_28_44_134,r_111_15_31,1.0,0,31,31,1
10,r_39_103_151,r_121_128_4,r_25_45_145,r_121_128_4,0.82,147,151,4,1
22,r_28_44_134,r_0_147_93,r_111_15_31,r_111_15_31,0.96,3,34,31,1
15,r_34_98_19,r_82_18_25,seq7,r_34_98_19,1.0,0,19,19,1
0,r_48_81_185,seq84,r_46_92_20,r_46_92_20,0.75,167,187,20,1
2,r_10_32_56,r_138_67_144,seq84,r_10_32_56,1.0,0,56,56,1
18,r_109_77_35,r_68_117_141,seq19,r_109_77_35,0.98,1,36,35,1
94,seq115,r_8_99_24,r_82_18_25,r_8_99_24,0.58,0,24,24,1
4,r_110_78_52,r_9_52_17,r_111_15_31,r_110_78_52,1.0,0,52,52,1
22,r_28_44_134,r_111_15_31,seq64,r_28_44_134,0.81,-5,129,134,1
47,r_136_51_179,seq38,r_95_26_172,r_95_26_172,0.87,9,181,172,1
24,r_127_119_132,r_65_140_150,r_107_6_13,r_127_119_132,0.76,1,133,132,1
82,seq84,r_65_140_150,r_10_32_56,r_10_32_56,1.0,0,56,56,1
46,r_107_6_13,r_48_81_185,seq49,r_107_6_13,1.0,0,13,13,1
34,r_5_129_138,r_88_96_39,r_91_13_119,r_91_13_119,0.62,21,140,119,1
26,r_12_59_26,r_5_129_138,seq141,r_12_59_26,1.0,2,28,26,1
33,r_29_146_80,r_61_80_104,seq38,r_29_146_80,0.78,8,88,80,1
54,seq7,r_61_80_104,r_34_98_19,r_34_98_19,1.0,1,20,19,1
65,seq30,r_97_87_171,r_68_117_141,r_68_117_141,0.66,-2,139,141,1
32,r_60_79_167,seq118,r_9_52_17,r_60_79_167,0.86,0,167,167,1
38,r_91_13_119,r_123_112_197,r_10_32_56,r_123_112_197,0.98,-76,121,197,1
29,r_143_33_51,r_55_105_101,r_107_6_13,r_143_33_51,0.72,1,52,51,1
25,r_82_18_25,r_60_79_167,seq115,r_82_18_25,0.86,-2,23,25,1
17,r_41_20_113,r_123_112_197,r_24_14_74,r_24_14_74,1.0,45,119,74,1
34,r_5_129_138,r_24_14_74,r_88_96_39,r_5_129_138,0.99,-98,40,138,1
13,r_40_17_34,seq16,seq27,r_40_17_34,1.0,-2,32,34,1
37,r_24_14_74,seq106,r_41_20_113,r_24_14_74,0.53,66,140,74,1
28,r_121_128_4,r_39_103_151,seq42,r_39_103_151,0.58,0,151,151,1
91,seq106,r_55_105_101,r_24_14_74,r_24_14_74,0.92,27,101,74,1
49,r_76_66_128,seq35,r_143_33_51,r_76_66_128,1.0,0,128,128,1
44,r_0_147_93,seq122,seq101,r_0_147_93,0.68,0,93,93,1
23,r_55_105_101,seq106,seq114,r_55_105_101,0.93,0,101,101,1
5,r_8_99_24,seq134,seq23,r_8_99_24,1.0,0,24,24,1
79,seq64,seq122,r_28_44_134,r_28_44_134,0.58,13,147,134,1
35,r_31_56_142,seq114,r_135_116_133,r_31_56_142,0.87,3,145,142,1
14,r_131_138_187,seq4,r_45_3_4,r_45_3_4,0.59,183,187,4,2
8,r_61_116_136,r_99_89_195,r_72_106_65,r_72_106_65,1.0,94,159,65,2
16,r_46_48_100,seq94,r_73_135_71,r_46_48_100,1.0,0,100,100,2
21,r_142_53_113,seq70,seq54,r_142_53_113,1.0,0,113,113,2
1,r_27_25_145,seq94,r_141_66_45,r_27_25_145,0.68,0,145,145,2
46,r_128_60_73,seq81,seq2,r_128_60_73,1.0,1,74,73,2
83,seq85,r_45_3_4,seq98,r_45_3_4,0.63,135,139,4,2
45,r_56_41_194,r_111_71_49,r_31_80_52,r_31_80_52,1.0,30,82,52,2
43,r_100_40_41,seq5,r_43_42_174,r_100_40_41,0.99,2,43,41,2
37,r_91_113_26,r_20_10_163,r_57_13_154,r_91_113_26,0.99,0,26,26,2
10,r_20_10_163,r_110_97_43,r_148_90_36,r_148_90_36,1.0,129,165,36,2
