,accuracy,precision,sensitivity,specifity,f1_score,sv_nonrec,sv_rec,auc,rho
output_0.2_mean,0.6971,0.8279,0.4992,0.895,0.62,0.6952,0.7779,0.7024,0.0023
output_0.4_mean,0.745,0.8387,0.609,0.881,0.703,0.7173,0.8306,0.7572,0.0029
output_0.6_mean,0.767,0.83,0.6724,0.8616,0.7415,0.7215,0.8542,0.7832,0.0035
output_0.8_mean,0.7764,0.8275,0.7012,0.8516,0.7575,0.7214,0.8673,0.7974,0.0038
once_only_30_70,0.7864,0.8271,0.7278,0.845,0.7727,0.7138,0.8737,0.81,0.004
once_only_40_60,0.8055,0.8054,0.8076,0.8034,0.8056,0.7034,0.8753,0.8411,0.0051
once_only_50_50,0.8103,0.7966,0.8368,0.7838,0.8151,0.6739,0.8645,0.8548,0.0058
once_only_60_40,0.8004,0.7812,0.8386,0.7622,0.8077,0.6559,0.8556,0.854,0.0063
once_only_70_30,0.7973,0.775,0.842,0.7526,0.806,0.6462,0.8485,0.8528,0.0067
output_0.2_mean1,0.7684,0.8199,0.688,0.8488,0.7462,0.7105,0.7878,0.7807,0.0038
output_0.4_mean1,0.8183,0.8254,0.8098,0.8268,0.8161,0.715,0.8347,0.8442,0.0049
output_0.6_mean1,0.8364,0.8198,0.865,0.8078,0.841,0.7326,0.8578,0.8687,0.0057
output_0.8_mean1,0.8411,0.817,0.8824,0.7998,0.8475,0.7524,0.8667,0.8722,0.0062
twice_only_30_70,0.84,0.8095,0.8916,0.7884,0.8479,0.7354,0.871,0.8782,0.0065
twice_only_40_60,0.8378,0.7845,0.9358,0.7398,0.8526,0.7281,0.8734,0.8901,0.0081
twice_only_50_50,0.8285,0.7685,0.9444,0.7126,0.8468,0.7168,0.872,0.8876,0.0091
twice_only_60_40,0.8222,0.7588,0.95,0.6944,0.8428,0.7019,0.86,0.8888,0.0093
twice_only_70_30,0.8171,0.7517,0.95,0.6842,0.8387,0.7012,0.8534,0.8824,0.0091
