,accuracy,precision,sensitivity,specifity,f1_score,sv_nonrec,sv_rec,auc,rho
output_0.2_sd,0.0435,0.0657,0.073,0.0439,0.066,0.1068,0.0616,0.0448,3.00E-04
output_0.4_sd,0.0432,0.0584,0.0737,0.0478,0.0588,0.0945,0.0499,0.043,4.00E-04
output_0.6_sd,0.0453,0.0525,0.0674,0.0459,0.0545,0.0828,0.0394,0.045,3.00E-04
output_0.8_sd,0.0371,0.0483,0.0589,0.0495,0.0433,0.0742,0.0327,0.0364,3.00E-04
once_only_30_70_sd,0.0391,0.0527,0.056,0.0564,0.0426,0.0965,0.03,0.0376,0.0004
once_only_40_60_sd,0.0418,0.0458,0.0543,0.0525,0.0426,0.071,0.0241,0.0405,0.0004
once_only_50_50_sd,0.0385,0.0454,0.0524,0.0577,0.038,0.0668,0.0261,0.036,0.0005
once_only_60_40_sd,0.0391,0.046,0.0515,0.0612,0.0373,0.0613,0.0219,0.0338,0.0005
once_only_70_30_sd,0.0383,0.0448,0.0503,0.0613,0.0362,0.066,0.0227,0.0353,0.0006
output_0.2_sd1,0.0495,0.0494,0.0814,0.0455,0.0618,0.0753,0.0603,0.0521,4.00E-04
output_0.4_sd1,0.0476,0.0526,0.0672,0.0577,0.0506,0.0671,0.0392,0.0473,4.00E-04
output_0.6_sd1,0.0382,0.0442,0.0465,0.0545,0.0367,0.0714,0.0342,0.0373,4.00E-04
output_0.8_sd1,0.0358,0.0422,0.045,0.0572,0.0333,0.0645,0.0265,0.0326,4.00E-04
twice_only_30_70_sd,0.0348,0.0381,0.0434,0.0505,0.0327,0.0635,0.0264,0.033,0.0005
twice_only_40_60_sd,0.0379,0.0432,0.0392,0.0649,0.0325,0.0558,0.0202,0.0345,0.0005
twice_only_50_50_sd,0.037,0.0406,0.0312,0.0635,0.0304,0.0453,0.0165,0.0341,0.0007
twice_only_60_40_sd,0.0373,0.0412,0.0349,0.0702,0.0298,0.0487,0.0175,0.0345,0.001
twice_only_70_30_sd,0.0297,0.0314,0.0331,0.0521,0.0247,0.0452,0.018,0.0336,0.0012
