"","accuracy","precision","sensitivity","specifity","f1_score","sv_nonrec","sv_rec","auc","delta","epsilon","rho"
"once_only_30_70","0.7734","0.8520","0.6646","0.8822","0.7446","0.7533","0.8719","0.7890","0.0008","0.9645","0.0066"
"once_only_40_60","0.7888","0.8407","0.7142","0.8634","0.7711","0.7311","0.8671","0.8089","0.0007","0.9766","0.0050"
"once_only_50_50","0.7864","0.8271","0.7278","0.8450","0.7727","0.7138","0.8737","0.8100","0.0005","0.9806","0.0040"
"once_only_60_40","0.7923","0.8096","0.7662","0.8184","0.7861","0.7185","0.8697","0.8198","0.0005","0.9852","0.0035"
"once_only_70_30","0.7905","0.8087","0.7646","0.8164","0.7845","0.6930","0.8680","0.8217","0.0004","0.9867","0.0030"
"twice_only_30_70","0.8364","0.8309","0.8474","0.8254","0.8378","0.7440","0.8702","0.8674","0.0015","0.9629","0.0108"
"twice_only_40_60","0.8460","0.8254","0.8810","0.8110","0.8514","0.7544","0.8705","0.8770","0.0012","0.9741","0.0081"
"twice_only_50_50","0.8400","0.8095","0.8916","0.7884","0.8479","0.7354","0.8710","0.8782","0.0010","0.9790","0.0065"
"twice_only_60_40","0.8376","0.7949","0.9130","0.7622","0.8492","0.7245","0.8692","0.8824","0.0009","0.9831","0.0056"
"twice_only_70_30","0.8399","0.7923","0.9252","0.7546","0.8527","0.7179","0.8654","0.8880","0.0008","0.9858","0.0050"
