"","accuracy","precision","sensitivity","specifity","f1_score","sv_nonrec","sv_rec","auc","delta","epsilon","rho"
"once_only_30_70_sd","0.0420","0.0562","0.0665","0.0522","0.0518","0.0865","0.0330","0.0403","3e-04","0.0116","6e-04"
"once_only_40_60_sd","0.0399","0.0485","0.0573","0.0466","0.0456","0.0789","0.0276","0.0379","2e-04","0.0066","4e-04"
"once_only_50_50_sd","0.0391","0.0527","0.0560","0.0564","0.0426","0.0965","0.0300","0.0376","2e-04","0.0057","4e-04"
"once_only_60_40_sd","0.0411","0.0450","0.0605","0.0490","0.0444","0.0764","0.0289","0.0394","1e-04","0.0044","3e-04"
"once_only_70_30_sd","0.0434","0.0534","0.0597","0.0604","0.0459","0.0794","0.0263","0.0393","1e-04","0.0042","3e-04"
"twice_only_30_70_sd","0.0362","0.0421","0.0553","0.0514","0.0369","0.0647","0.0279","0.0359","6e-04","0.0115","9e-04"
"twice_only_40_60_sd","0.0347","0.0442","0.0409","0.0569","0.0322","0.0569","0.0254","0.0345","4e-04","0.0090","6e-04"
"twice_only_50_50_sd","0.0348","0.0381","0.0434","0.0505","0.0327","0.0635","0.0264","0.0330","4e-04","0.0058","5e-04"
"twice_only_60_40_sd","0.0343","0.0392","0.0372","0.0560","0.0306","0.0569","0.0218","0.0334","3e-04","0.0038","4e-04"
"twice_only_70_30_sd","0.0375","0.0431","0.0441","0.0620","0.0336","0.0680","0.0234","0.0381","2e-04","0.0034","4e-04"
