Rates file : INDELible V1.00 				
				
  N.B. Site classes are numbered from lowest to highest values of omega.				
       The omegas are not given explicitly as they are permitted to change on different				
       branches whereas the site classes are not allowed to change.				
				
Site	Class	Insert?	Partition	
1	3		1	
2	0	Y	1	
3	3	Y	1	
4	2	Y	1	
5	0	Y	1	
6	0		1	
7	1	Y	1	
8	3	Y	1	
9	1	Y	1	
10	2	Y	1	
11	3	Y	1	
12	1	Y	1	
13	1	Y	1	
14	3	Y	1	
15	0	Y	1	
16	2	Y	1	
17	0		1	
18	3	Y	1	
19	3	Y	1	
20	3	Y	1	
21	3		1	
22	3	Y	1	
23	2		1	
24	2	Y	1	
25	2		1	
26	3	Y	1	
27	0	Y	1	
28	0		1	
29	0		1	
30	0		1	
31	0	Y	1	
32	0	Y	1	
33	3	Y	1	
34	3		1	
35	3	Y	1	
36	3		1	
37	1	Y	1	
38	3	Y	1	
39	3	Y	1	
40	2		1	
41	2	Y	1	
42	0	Y	1	
43	3	Y	1	
44	2	Y	1	
45	2		1	
46	2	Y	1	
47	1	Y	1	
48	1		1	
49	0	Y	1	
50	0		1	
51	0		1	
52	1	Y	1	
53	0	Y	1	
54	1	Y	1	
55	3	Y	1	
56	1	Y	1	
57	0	Y	1	
58	3	Y	1	
59	2	Y	1	
60	1	Y	1	
61	2	Y	1	
62	3	Y	1	
63	2	Y	1	
64	2	Y	1	
65	3	Y	1	
66	0	Y	1	
67	2	Y	1	
68	1	Y	1	
69	0	Y	1	
70	3	Y	1	
71	1	Y	1	
72	0	Y	1	
73	3	Y	1	
74	3	Y	1	
75	3	Y	1	
76	2	Y	1	
77	0	Y	1	
78	2	Y	1	
79	3		1	
80	2		1	
81	3		1	
82	2	Y	1	
83	0	Y	1	
84	1	Y	1	
85	2	Y	1	
86	0	Y	1	
87	1	Y	1	
88	2	Y	1	
89	2	Y	1	
90	2	Y	1	
91	1		1	
92	1		1	
93	3	Y	1	
94	2		1	
95	3		1	
96	1	Y	1	
97	2		1	
98	0	Y	1	
99	3		1	
100	3	Y	1	
101	0	Y	1	
102	3	Y	1	
103	0	Y	1	
104	2		1	
105	0	Y	1	
106	2		1	
107	3	Y	1	
108	0	Y	1	
109	3		1	
110	2	Y	1	
111	2	Y	1	
112	2	Y	1	
113	2	Y	1	
114	3	Y	1	
115	3	Y	1	
116	3	Y	1	
117	3	Y	1	
118	3		1	
119	1		1	
120	3		1	
121	1		1	
122	2	Y	1	
123	2		1	
124	1	Y	1	
125	0		1	
126	3		1	
127	3		1	
128	2	Y	1	
129	2	Y	1	
130	1	Y	1	
131	0		1	
132	0		1	
133	2		1	
134	1		1	
135	3		1	
136	1		1	
137	2		1	
138	3		1	
139	0		1	
140	3		1	
141	2		1	
142	3		1	
143	3	Y	1	
144	3	Y	1	
145	2		1	
146	2	Y	1	
147	2	Y	1	
148	3	Y	1	
149	2	Y	1	
150	3	Y	1	
151	3		1	
152	2		1	
153	1		1	
154	0		1	
155	1		1	
156	0		1	
157	1	Y	1	
158	3	Y	1	
159	3	Y	1	
160	2	Y	1	
161	3	Y	1	
162	1	Y	1	
163	3	Y	1	
164	3	Y	1	
165	2	Y	1	
166	3	Y	1	
167	1		1	
168	0	Y	1	
169	0	Y	1	
170	2		1	
171	3	Y	1	
172	3		1	
173	2	Y	1	
174	2		1	
175	0	Y	1	
176	3	Y	1	
177	1	Y	1	
178	3		1	
179	3		1	
180	0	Y	1	
181	2		1	
182	3		1	
183	2		1	
184	2	Y	1	
185	2		1	
186	3		1	
187	2		1	
188	3	Y	1	
189	3	Y	1	
190	0		1	
191	3		1	
192	0	Y	1	
193	2		1	
194	1		1	
195	0	Y	1	
196	0		1	
197	0		1	
198	2		1	
199	0		1	
200	0		1	
201	0		1	
202	0	Y	1	
203	3	Y	1	
204	0	Y	1	
205	0		1	
206	0		1	
207	2		1	
208	3		1	
209	3	Y	1	
210	3	Y	1	
211	2	Y	1	
212	2		1	
213	0		1	
214	2	Y	1	
215	0	Y	1	
216	2	Y	1	
217	1	Y	1	
218	3	Y	1	
219	3	Y	1	
220	1	Y	1	
221	3	Y	1	
222	3	Y	1	
223	0	Y	1	
224	0	Y	1	
225	2	Y	1	
226	0	Y	1	
227	2	Y	1	
228	0	Y	1	
229	3	Y	1	
230	1	Y	1	
231	3	Y	1	
232	3	Y	1	
233	1	Y	1	
234	2	Y	1	
235	2	Y	1	
236	1	Y	1	
237	3	Y	1	
238	2	Y	1	
239	3	Y	1	
240	1	Y	1	
241	0	Y	1	
242	1	Y	1	
243	2	Y	1	
244	0	Y	1	
245	3		1	
246	0		1	
247	3	Y	1	
248	2	Y	1	
249	1		1	
250	3		1	
251	3	Y	1	
252	0	Y	1	
253	2	Y	1	
254	3	Y	1	
255	0	Y	1	
256	1	Y	1	
257	2	Y	1	
258	2	Y	1	
259	0	Y	1	
260	3	Y	1	
261	2	Y	1	
262	1		1	
263	3	Y	1	
264	3	Y	1	
265	1	Y	1	
266	1	Y	1	
267	2	Y	1	
268	1		1	
269	0		1	
270	2		1	
271	3		1	
272	3	Y	1	
273	3		1	
274	1		1	
275	2		1	
276	2		1	
277	3	Y	1	
278	0		1	
279	3		1	
280	3		1	
281	2	Y	1	
282	3		1	
283	0		2	
284	1	Y	2	
285	2	Y	2	
286	3		2	
287	3		2	
288	0		2	
289	3	Y	2	
290	2	Y	2	
291	2	Y	2	
292	2		2	
293	3	Y	2	
294	0	Y	2	
295	2	Y	2	
296	2	Y	2	
297	2	Y	2	
298	3	Y	2	
299	0	Y	2	
300	0		2	
301	0		2	
302	2	Y	2	
303	2	Y	2	
304	0	Y	2	
305	0		2	
306	3	Y	2	
307	0	Y	2	
308	3		2	
309	1	Y	2	
310	3		2	
311	3	Y	2	
312	2	Y	2	
313	3	Y	2	
314	3		2	
315	0		2	
316	2	Y	2	
317	3	Y	2	
318	3	Y	2	
319	0	Y	2	
320	2		2	
321	0	Y	2	
322	2	Y	2	
323	1	Y	2	
324	1	Y	2	
325	2	Y	2	
326	3	Y	2	
327	2	Y	2	
328	2	Y	2	
329	3	Y	2	
330	1	Y	2	
331	1	Y	2	
332	3	Y	2	
333	1	Y	2	
334	0	Y	2	
335	2	Y	2	
336	2	Y	2	
337	0	Y	2	
338	0	Y	2	
339	2	Y	2	
340	0	Y	2	
341	3	Y	2	
342	0	Y	2	
343	2	Y	2	
344	1	Y	2	
345	3	Y	2	
346	2	Y	2	
347	1	Y	2	
348	2	Y	2	
349	2	Y	2	
350	3	Y	2	
351	2		2	
352	2	Y	2	
353	0	Y	2	
354	2	Y	2	
355	2	Y	2	
356	3	Y	2	
357	1	Y	2	
358	2	Y	2	
359	1	Y	2	
360	3	Y	2	
361	2		2	
362	3	Y	2	
363	1	Y	2	
364	0	Y	2	
365	2	Y	2	
366	3	Y	2	
367	1		2	
368	2	Y	2	
369	2		2	
370	3	Y	2	
371	0	Y	2	
372	2		2	
373	0	Y	2	
374	2	Y	2	
375	1	Y	2	
376	3	Y	2	
377	1	Y	2	
378	2	Y	2	
379	0	Y	2	
380	2	Y	2	
381	0		2	
382	0		2	
383	1		2	
384	3		2	
385	2		2	
386	2	Y	2	
387	3	Y	2	
388	2		2	
389	1	Y	2	
390	2		2	
391	2	Y	2	
392	0		2	
393	2	Y	2	
394	2		2	
395	0	Y	2	
396	0	Y	2	
397	2	Y	2	
398	3	Y	2	
399	2	Y	2	
400	2	Y	2	
401	0		2	
402	1	Y	2	
403	1	Y	2	
404	2	Y	2	
405	3	Y	2	
406	2	Y	2	
407	3	Y	2	
408	2	Y	2	
409	3	Y	2	
410	2	Y	2	
411	1	Y	2	
412	1	Y	2	
413	0	Y	2	
414	3	Y	2	
415	2	Y	2	
416	1	Y	2	
417	1		2	
418	3	Y	2	
419	2		2	
420	0	Y	2	
421	3	Y	2	
422	3	Y	2	
423	1		2	
424	3	Y	2	
425	1		2	
426	2	Y	2	
427	1	Y	2	
428	1		2	
429	3	Y	2	
430	0	Y	2	
431	0		2	
432	0	Y	2	
433	1	Y	2	
434	3	Y	2	
435	0	Y	2	
436	2	Y	2	
437	3		2	
438	2		2	
439	1	Y	2	
440	0	Y	2	
441	0	Y	2	
442	2	Y	2	
443	1	Y	2	
444	2	Y	2	
445	3	Y	2	
446	2	Y	2	
447	3	Y	2	
448	1	Y	2	
449	0	Y	2	
450	3	Y	2	
451	3	Y	2	
452	3	Y	2	
453	2	Y	2	
454	0	Y	2	
455	2	Y	2	
456	3	Y	2	
457	3	Y	2	
458	1	Y	2	
459	0	Y	2	
460	1		2	
461	3	Y	2	
462	0	Y	2	
463	2	Y	2	
464	1	Y	2	
465	0	Y	2	
466	3	Y	2	
467	3	Y	2	
468	0	Y	2	
469	2	Y	2	
470	2		2	
471	3	Y	2	
472	3		2	
473	2	Y	2	
474	0		2	
475	1	Y	2	
476	1	Y	2	
477	2		2	
478	3	Y	2	
479	1		2	
480	0	Y	2	
481	0	Y	2	
482	3	Y	2	
483	0		2	
484	2	Y	2	
485	3	Y	2	
486	1	Y	2	
487	1		2	
488	3	Y	2	
489	1	Y	2	
490	0	Y	2	
491	2	Y	2	
492	0	Y	2	
493	1	Y	2	
494	0	Y	2	
495	2	Y	2	
496	3	Y	2	
497	3	Y	2	
498	3	Y	2	
499	3	Y	2	
500	1	Y	2	
501	3	Y	2	
502	1	Y	2	
503	0	Y	2	
504	2	Y	2	
505	2	Y	2	
506	3	Y	2	
507	0	Y	2	
508	0	Y	2	
509	0	Y	2	
510	0	Y	2	
511	1	Y	2	
512	2	Y	2	
513	1	Y	2	
514	0	Y	2	
515	3	Y	2	
516	0	Y	2	
517	3	Y	2	
518	2	Y	2	
519	0	Y	2	
520	2	Y	2	
521	0	Y	2	
522	0	Y	2	
523	1	Y	2	
524	1	Y	2	
525	3	Y	2	
526	3	Y	2	
527	3	Y	2	
528	2	Y	2	
529	3	Y	2	
530	3	Y	2	
531	3	Y	2	
532	3	Y	2	
533	3	Y	2	
534	2	Y	2	
535	1	Y	2	
536	0		2	
537	0	Y	2	
538	1	Y	2	
539	0	Y	2	
540	3	Y	2	
541	3	Y	2	
542	2	Y	2	
543	0	Y	2	
544	1	Y	2	
545	3	Y	2	
546	2	Y	2	
547	2	Y	2	
548	1	Y	2	
549	3	Y	2	
550	3	Y	2	
551	0	Y	2	
552	3		2	
553	3	Y	2	
554	2		2	
555	0		2	
556	2	Y	2	
557	3	Y	2	
558	3	Y	2	
559	3	Y	2	
560	1	Y	2	
561	0	Y	2	
562	1		2	
563	3		2	
564	2	Y	2	
565	3	Y	2	
566	1	Y	2	
567	0	Y	2	
568	3	Y	2	
569	3	Y	2	
570	2	Y	2	
571	3		2	
572	2		2	
573	2		2	
574	3		2	
575	3	Y	2	
576	2		2	
577	2		2	
578	3		2	
579	0		2	
580	3		2	
581	2		2	
582	3	Y	2	
583	2	Y	2	
584	2		2	
585	0	Y	2	
586	3	Y	2	
587	3		2	
588	3	Y	2	
589	1		2	
590	3		2	
591	2	Y	2	
592	2	Y	2	
593	3	Y	2	
594	0	Y	2	
595	2	Y	2	
596	3	Y	2	
597	2	Y	2	
598	1	Y	2	
599	2		2	
600	3		2	
601	2	Y	2	
602	2	Y	2	
603	1		2	
604	0	Y	2	
605	3		2	
606	3		2	
607	2	Y	2	
608	1	Y	2	
609	0	Y	2	
610	1	Y	2	
611	0	Y	2	
612	1	Y	2	
613	1	Y	2	
614	2	Y	2	
615	0	Y	2	
616	2	Y	2	
617	0	Y	2	
618	2	Y	2	
619	0		2	
620	2	Y	2	
621	1	Y	2	
622	2	Y	2	
623	2		2	
624	1	Y	2	
625	2	Y	2	
626	2		2	
627	0	Y	2	
628	2	Y	2	
629	3		2	
630	1		2	
631	2	Y	2	
632	3	Y	2	
633	1		2	
634	2	Y	2	
635	2	Y	2	
636	3	Y	2	
637	0	Y	2	
638	1	Y	2	
639	3	Y	2	
640	0	Y	2	
641	0	Y	2	
642	3	Y	2	
643	3	Y	2	
644	0	Y	2	
645	3		2	
646	2	Y	2	
647	0	Y	2	
648	3	Y	2	
649	3	Y	2	
650	1	Y	2	
651	3	Y	2	
652	2	Y	2	
653	2		2	
654	3		2	
655	1		2	
656	2		2	
657	1	Y	2	
658	0	Y	2	
659	3	Y	2	
660	3	Y	2	
661	0	Y	2	
662	1	Y	2	
663	2	Y	2	
664	3		2	
665	0		2	
666	0		2	
667	0		2	
668	3		2	
669	3	Y	2	
670	2	Y	2	
671	0	Y	2	
672	3	Y	2	
673	1	Y	2	
674	3	Y	2	
675	1		2	
676	0	Y	2	
677	2		2	
678	0		2	
679	3	Y	2	
680	2	Y	2	
681	3	Y	2	
682	2	Y	2	
683	1	Y	2	
684	1		2	
685	3		2	
686	1	Y	2	
687	1		2	
688	2		2	
689	0	Y	2	
690	0	Y	2	
691	3	Y	2	
692	3		2	
693	0		2	
694	1		2	
695	3		2	
696	2	Y	2	
697	3		2	
698	3	Y	2	
699	1	Y	2	
700	0		2	
701	1	Y	2	
702	1		2	
703	3	Y	2	
704	3	Y	2	
705	0		2	
706	0	Y	2	
707	3	Y	2	
708	0	Y	2	
